Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
AR100125170957549568,Azione,,"EU, IT",EU-Parliament,56,4400,3800,327500,7425,28600,101000,28500,1342500,16900,18375,39750,3450,6600
AR100201587015680000,ALEX FOR AZ,Registered in Arizona 100259,US,US-Federal,9,4700,4050,349000,7900,30400,107000,30000,1417500,18000,19575,42000,3650,7000
AR100207290732249088,FRIENDS OF SUZY GLOWIAK,EIN ID 46-3931666,US,US-Federal,1,100,100,9000,200,800,3000,1000,37500,500,525,750,100,200
AR100293190078169088,DYLAN BILLINGS FOR SENATE,FEC ID C00714477,US,US-Federal,1,100,50,3750,100,300,1000,500,15000,200,225,750,50,0
AR10057920054034432,ARCHERD FOR CONGRESS,FEC ID C00732347,US,US-Federal,3,1400,1250,98000,2450,9300,31000,9500,420000,5300,6000,13500,1050,2200
AR100605107783073792,PAGE PAC,Registered in Missouri C190939,US,US-Federal,2,5600,4800,421750,9350,35700,125000,35500,1650000,21100,23100,49500,4300,8400
AR100609299671154688,"PS:Digital, s.r.o.",,"AT, CZ, EU, SK",EU-Parliament,55,3300,3050,237250,5950,22700,77000,22500,1027500,13100,14625,32250,2550,5200
AR100745295515615232,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,FEC ID C00513176,US,US-Federal,35,25900,22550,1952250,44100,169800,597000,168000,7822500,100000,109050,234750,20400,39600
AR100838960162406400,SECURING LOUISIANAS FUTURE,EIN ID 83-2750304,US,US-Federal,143,152100,135200,10723750,264450,1001100,3474000,1009000,43732500,582400,639600,1428000,120950,229000
AR100996740080992256,FreedomWorks Inc,EIN ID 52-1349353,US,US-Federal,319,165400,146200,11838250,286000,1088800,3775000,1091000,48420000,632400,695175,1540500,128450,252000
AR101044156519940096,DELEGACION ESPAÑOLA DEL GRUPO DE LA ALIANZA PROGRESISTA DE SOCIALISTAS Y DEMOCRATAS EN EL PARLAMENTENO EUROPEO,,"ES, EU",EU-Parliament,2,2700,2350,201250,4600,17800,62000,17500,810000,10400,11325,24750,2100,4000
AR101121809528651776,"PETE FOR AMERICA, INC.",FEC ID C00697441,US,US-Federal,3927,7177200,6480600,509372750,12674950,48183400,164846000,48409500,2151832500,27751300,30889575,68772000,5581550,11077000
AR101148472685625344,DOUG WARDLOW FOR ATTORNEY GENERAL,EIN ID 82-0758730,US,US-Federal,20,23500,20600,1713750,40250,152900,531000,153500,6652500,88600,96000,213000,18150,35800
AR101183107301900288,Fianna Fáil,,"EU, GB, IE",EU-Parliament,233,53300,48200,3788250,94275,358800,1216000,360000,16170000,206300,229950,511500,41000,82000
AR101209633019920384,VAN DREW FOR CONGRESS,FEC ID C00661868,US,US-Federal,2,6200,5600,441250,10925,41600,142000,41500,1845000,23800,26625,58500,4750,9400
AR101303297666711552,LINDSEY PORT FOR MN,Registered in Minnesota 18466,US,US-Federal,18,8200,6950,610250,13625,52300,183000,52000,2430000,30800,33675,72000,6300,12400
